Gene,Two_Tower_AUPRC,EVE_AUPRC,AlphaMissense_AUPRC,Two_Tower_AUROC,EVE_AUROC,AlphaMissense_AUROC,N_evaluated
MYH7,0.8856057370299448,0.8751809576382132,0.8715855655193094,0.6706340294932256,0.6284286038887266,0.6153147012042718,1004
MYBPC3,0.6672984912183859,0.6315388705461362,0.6375885781021932,0.689562948467058,0.603395061728395,0.615212244207678,435
TNNT2,0.9307098486541132,0.8315446252887808,0.843278170071344,0.7700467457749012,0.5653273809523809,0.5791666666666666,142
TNNI3,0.9379301598396156,0.8776753095750935,0.890126869529232,0.7612244897959184,0.6372448979591837,0.6836734693877551,118
TPM1,0.8863816051637519,0.8784888231194984,0.9017531291837884,0.7030474840538625,0.5754783841247344,0.6541459957476966,100
ACTC1,0.9548466305498832,0.8597768190780949,0.8479087386000999,0.8728571428571429,0.5971428571428572,0.592857142857143,64
MYL2,0.8346092891942436,0.7626320375074653,0.7181576303914643,0.7170111287758346,0.6200317965023847,0.53577106518283,54
MYL3,0.8063914200814051,0.636116374179608,0.6293162816238567,0.7121212121212122,0.5606060606060606,0.5151515151515151,37
TNNC1,0.6927752583655561,0.8368370937493927,0.8562843934173638,0.35,0.5961538461538461,0.6269230769230769,36
